2013-Nov-25;15:50:43.354260;Start distance log
2013-Nov-25;15:50:43.354260;Track Description:;Track;trackID;_;__;___;Expected;expectDistance;expectAngle;Val;distance;____;velocity;acceleration;ttc;decelerationToStop;probability;ThreatLevel;Ch.0;Ch.1;Ch.2;Ch.3;Ch.4;Ch.5;Ch.6;
2013-Nov-25;15:50:43.354260;Distance Description:;Dist;_;__;Channel;DetectionID;Expected;expectDistance;expectAngle;Val;distance;intensity;velocity;acceletation;ttc;decelerationToStop;probability;ThreatLevel
2013-Nov-25;15:50:43.553271; ;Track;1010; ; ; ;Expected;0.00;0.0;Val;6.10; ;19.5;0.0;0.31;-62.0;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.563272; ;Track;1011; ; ; ;Expected;0.00;0.0;Val;6.10; ;19.5;0.0;0.31;-62.0;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.573272; ;Track;1012; ; ; ;Expected;0.00;0.0;Val;6.10; ;19.5;0.0;0.31;-62.0;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.583273; ;Track;1013; ; ; ;Expected;0.00;0.0;Val;6.10; ;19.5;0.0;0.31;-62.0;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.593274; ;Track;1014; ; ; ;Expected;0.00;0.0;Val;6.20; ;19.4;0.0;0.32;-60.7;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.603274; ;Track;1015; ; ; ;Expected;0.00;0.0;Val;6.20; ;19.4;0.0;0.32;-60.7;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.613275; ;Track;1016; ; ; ;Expected;0.00;0.0;Val;6.20; ;19.4;0.0;0.32;-60.7;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.623275; ;Track;1017; ; ; ;Expected;0.00;0.0;Val;6.20; ;19.4;0.0;0.32;-60.7;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.633276; ;Track;1018; ; ; ;Expected;0.00;0.0;Val;6.20; ;19.4;0.0;0.32;-60.7;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.643276; ;Track;1019; ; ; ;Expected;0.00;0.0;Val;6.20; ;19.4;0.0;0.32;-60.7;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.653277; ;Track;1020; ; ; ;Expected;0.00;0.0;Val;6.20; ;19.4;0.0;0.32;-60.7;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.663278; ;Track;1021; ; ; ;Expected;0.00;0.0;Val;6.20; ;19.4;0.0;0.32;-60.7;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.673278; ;Track;1022; ; ; ;Expected;0.00;0.0;Val;6.20; ;19.4;0.0;0.32;-60.7;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.683279; ;Track;1023; ; ; ;Expected;0.00;0.0;Val;6.20; ;19.4;0.0;0.32;-60.7;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.693279; ;Track;1024; ; ; ;Expected;0.00;0.0;Val;6.20; ;19.4;0.0;0.32;-60.7;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.703280; ;Track;1025; ; ; ;Expected;0.00;0.0;Val;6.20; ;19.4;0.0;0.32;-60.7;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.713280; ;Track;1026; ; ; ;Expected;0.00;0.0;Val;6.30; ;19.4;0.0;0.33;-59.4;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.723281; ;Track;1027; ; ; ;Expected;0.00;0.0;Val;6.30; ;19.4;0.0;0.33;-59.4;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.733282; ;Track;1028; ; ; ;Expected;0.00;0.0;Val;6.30; ;19.4;0.0;0.33;-59.4;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.743282; ;Track;1029; ; ; ;Expected;0.00;0.0;Val;6.30; ;19.4;0.0;0.33;-59.4;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.753283; ;Track;1030; ; ; ;Expected;0.00;0.0;Val;6.30; ;19.4;0.0;0.33;-59.4;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.763283; ;Track;1031; ; ; ;Expected;0.00;0.0;Val;6.30; ;19.4;0.0;0.33;-59.4;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.773284; ;Track;1032; ; ; ;Expected;0.00;0.0;Val;6.30; ;19.4;0.0;0.33;-59.4;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.783284; ;Track;1033; ; ; ;Expected;0.00;0.0;Val;6.30; ;19.4;0.0;0.33;-59.4;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.793285; ;Track;1034; ; ; ;Expected;0.00;0.0;Val;6.30; ;19.4;0.0;0.33;-59.4;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.803286; ;Track;1035; ; ; ;Expected;0.00;0.0;Val;6.30; ;19.4;0.0;0.33;-59.4;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.813286; ;Track;1036; ; ; ;Expected;0.00;0.0;Val;6.30; ;19.4;0.0;0.33;-59.4;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.823287; ;Track;1037; ; ; ;Expected;0.00;0.0;Val;6.30; ;19.4;0.0;0.33;-59.4;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.833287; ;Track;1038; ; ; ;Expected;0.00;0.0;Val;6.40; ;19.3;0.0;0.33;-58.2;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.843288; ;Track;1039; ; ; ;Expected;0.00;0.0;Val;6.40; ;19.3;0.0;0.33;-58.2;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.853288; ;Track;1040; ; ; ;Expected;0.00;0.0;Val;6.40; ;19.3;0.0;0.33;-58.2;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.863289; ;Track;1041; ; ; ;Expected;0.00;0.0;Val;6.40; ;19.3;0.0;0.33;-58.2;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.873290; ;Track;1042; ; ; ;Expected;0.00;0.0;Val;6.40; ;19.3;0.0;0.33;-58.2;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.883290; ;Track;1043; ; ; ;Expected;0.00;0.0;Val;6.40; ;19.3;0.0;0.33;-58.2;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:43.883290; ;Track;1044; ; ; ;Expected;0.00;0.0;Val;6.40; ;19.3;0.0;0.33;-58.2;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.893291; ;Track;1045; ; ; ;Expected;0.00;0.0;Val;6.40; ;19.3;0.0;0.33;-58.2;99;0;0;1;0;0;0;0;0;
